"","The.Party.Affiliation","Speaker","p_bt","p_fc","p_ht","p_mt","p_pfic","X","ID","Label","Statement","Subject.s.","Speaker.Job.Title","State.Info","Barely.True.Counts","False.Counts","Half.True.Counts","Mostly.True.Counts","Pants.on.Fire.Counts","Venue.Location","Ts"
"59","democrat","barack-obama",578,569,901,988,179,1181,1181,"true","When Mitt Romney was governor of Massachusetts, he stood in front of a coal plant and pointed at it and said, This plant kills.","debates,energy","President","Illinois",70,71,160,163,9,"in a town-hall debate in Long Island, N.Y.",473
"60","democrat","barack-obama",578,569,901,988,179,1224,1224,"barely-true","John McCain offers ""billions in tax breaks for oil and drug companies, but almost nothing for families like yours.""","taxes","President","Illinois",70,71,160,163,9,"a television ad",473
"61","democrat","barack-obama",578,569,901,988,179,1238,1238,"half-true","Paul Ryans Medicare plan could raise future retirees costs more than $6,000.","corrections-and-updates,health-care,medicare,message-machine-2012","President","Illinois",70,71,160,163,9,"a campaign commercial",473
"62","democrat","barack-obama",578,569,901,988,179,1242,1242,"barely-true","I introduced a bill that wouldve helped stop the multimillion-dollar bonus packages that CEOs grab on their way out.. (McCain) opposed that idea.","economy","President","Illinois",70,71,160,163,9,"a speech in Dunedin, Fla.",473
"63","democrat","barack-obama",578,569,901,988,179,1295,1295,"barely-true","Says under Mitt Romney, Medicare could end as we know it, leaving Julia with nothing but a voucher to buy insurance, which means $6,350 extra per year for a similar plan.","corrections-and-updates,federal-budget,health-care,medicare","President","Illinois",70,71,160,163,9,"a graphical tool on the campaign website",473
"64","democrat","barack-obama",578,569,901,988,179,1300,1300,"mostly-true","You see a whole bunch of Korean cars here in the United States, and you dont see any American cars in Korea.","foreign-policy,trade,transportation","President","Illinois",70,71,160,163,9,"a press conference",473
"65","democrat","barack-obama",578,569,901,988,179,1338,1338,"half-true","As governor, in the face of partisan attacks, (Charlie Crist) had the courage to save jobs and lead his state into economic recovery.","candidates-biography,economy,florida,stimulus","President","Illinois",70,71,160,163,9,"a statement",473
"66","democrat","barack-obama",578,569,901,988,179,1344,1344,"half-true","Says his administration has created 5 million jobs over the last 30 months in the private sector alone.","economy,jobs","President","Illinois",70,71,160,163,9,"the second presidential debate",473
"67","democrat","barack-obama",578,569,901,988,179,1381,1381,"mostly-true","John McCain has seven houses.","candidates-biography","President","Illinois",70,71,160,163,9,"interview by Obama campaign strategist David Axelrod",473
"68","democrat","barack-obama",578,569,901,988,179,1421,1421,"true","Were spending millions for each individual held at Guantanamo Bay, Cuba.","corrections-and-updates,terrorism","President","Illinois",70,71,160,163,9,"comments on CNN's ""State of the Union""",473
"69","democrat","barack-obama",578,569,901,988,179,1455,1455,"mostly-true","Joe Biden wrote the Violence Against Women Act ... the rate of domestic violence went down dramatically.","crime","President","Illinois",70,71,160,163,9,"Springfield, Ill.",473
"70","democrat","barack-obama",578,569,901,988,179,1461,1461,"barely-true","As governor, Mitt Romney raised nursing home fees eight times.","medicaid,message-machine-2012","President","Illinois",70,71,160,163,9,"a campaign ad",473
"71","democrat","barack-obama",578,569,901,988,179,1501,1501,"half-true","Weve lifted high school graduation rates to new highs.","education","President","Illinois",70,71,160,163,9,"a State of the Union speech",473
"72","democrat","barack-obama",578,569,901,988,179,1507,1507,"false","I know that Hillary on occasion has said just last year said this (NAFTA) was a boon to the economy.","foreign-policy","President","Illinois",70,71,160,163,9,"a debate in Myrtle Beach, S.C.",473
"73","democrat","barack-obama",578,569,901,988,179,1538,1538,"true","Says Mitt Romney is proposing a tax cut that gives an average of $250,000 to every millionaire in this country.","taxes","President","Illinois",70,71,160,163,9,"a speech in Columbus, Ohio",473
"74","democrat","barack-obama",578,569,901,988,179,1571,1571,"false","The centerpiece of Senator McCain's education policy is to increase the voucher program in D.C. by 2,000 slots.","education","President","Illinois",70,71,160,163,9,"a debate in Hempstead, N.Y.",473
"75","democrat","barack-obama",578,569,901,988,179,1586,1586,"half-true","John Boehner wants to reopen a tax loophole that actually rewarded corporations for shipping jobs and profits overseas.","corporations,taxes,trade","President","Illinois",70,71,160,163,9,"a speech on Labor Day",473
"76","democrat","barack-obama",578,569,901,988,179,1622,1622,"half-true","The U.S. Justice Department has taken on more than 100 voting rights cases since 2009.","civil-rights,elections","President","Illinois",70,71,160,163,9,"a speech",473
"77","democrat","barack-obama",578,569,901,988,179,1634,1634,"false","On support for gay marriage.","civil-rights,families,gays-and-lesbians,marriage","President","Illinois",70,71,160,163,9,"a TV interview",473
"78","democrat","barack-obama",578,569,901,988,179,1636,1636,"true","Republicans in Congress refuse to list a single tax loophole they are willing to close.","federal-budget,taxes","President","Illinois",70,71,160,163,9,"remarks to the Newspaper Association of America",473
"79","democrat","barack-obama",578,569,901,988,179,1672,1672,"false","On releasing photographs depicting the abuse of prisoners.","human-rights,legal-issues,terrorism,transparency","President","Illinois",70,71,160,163,9,"legal filings",473
"80","democrat","barack-obama",578,569,901,988,179,1682,1682,"half-true","What is and isnt a Schedule I narcotic is a job for Congress.","congress,drugs,legal-issues","President","Illinois",70,71,160,163,9,"an interview with CNN",473
"81","democrat","barack-obama",578,569,901,988,179,1725,1725,"mostly-true","Here are the stats: Per population, we kill each other with guns at a rate 297x more than Japan, 49x more than France, 33x more than Israel.","crime,criminal-justice,guns","President","Illinois",70,71,160,163,9,"a tweet",473
"82","democrat","barack-obama",578,569,901,988,179,1786,1786,"barely-true","Because of the new health care law, 17 million kids can no longer be denied for a pre-existing condition.","health-care,job-accomplishments,message-machine-2012","President","Illinois",70,71,160,163,9,"the campaign film ""The Road We've Traveled""",473
"83","democrat","barack-obama",578,569,901,988,179,1820,1820,"mostly-true","The DREAM Act was written by members of both parties. When it came up for a vote a year and a half ago, Republicans in Congress blocked it. The bill hadnt changed. ... The only thing that had changed was politics.","immigration","President","Illinois",70,71,160,163,9,"a speech in Orlando",473
"84","democrat","barack-obama",578,569,901,988,179,1892,1892,"mostly-true","Thanks in part to our all-of-the-above strategy for American energy, the United States generates more natural gas than anybody.","energy","President","Illinois",70,71,160,163,9,"a Saturday radio address",473
"85","democrat","barack-obama",578,569,901,988,179,1929,1929,"true","The income of the top 1 percent nearly quadrupled from 1979 to 2007, but the typical familys incomes barely budged.","economy,income","President","Illinois",70,71,160,163,9,"a speech in Galesburg, Ill.",473
"86","democrat","barack-obama",578,569,901,988,179,1930,1930,"true","John McCain has voted with George Bush 90 percent of the time.","bush-administration","President","Illinois",70,71,160,163,9,"a speech at Democratic National Convention",473
"87","democrat","barack-obama",578,569,901,988,179,1936,1936,"half-true","Hillary Clinton is ""willing to have workers' wages garnisheed if they refuse to buy health insurance.""","health-care,workers","President","Illinois",70,71,160,163,9,"a television ad",473
"88","democrat","barack-obama",578,569,901,988,179,1963,1963,"false","I think we came down here (to Florida) one time ... but we weren't actively fundraising here.","ethics","President","Illinois",70,71,160,163,9,"Tampa, Fla.",473
"89","democrat","barack-obama",578,569,901,988,179,1966,1966,"half-true","The White House budget plan will bring domestic discretionary spending to its lowest share of our economy since Dwight Eisenhower was president.","federal-budget","President","Illinois",70,71,160,163,9,"a speech",473
"90","democrat","barack-obama",578,569,901,988,179,1974,1974,"true","During the past four years, average wages have barely budged.","economy,jobs","President","Illinois",70,71,160,163,9,"the State of Union address",473
"91","democrat","barack-obama",578,569,901,988,179,1994,1994,"mostly-true","Illegal immigration is lower than its been in 40 years.","immigration","President","Illinois",70,71,160,163,9,"a Democratic National Committee reception",473
"92","democrat","barack-obama",578,569,901,988,179,2021,2021,"true","Right now, here in Texas, wind power is already cheaper than dirty fossil fuels.","energy,states","President","Illinois",70,71,160,163,9,"remarks in Dallas at a Democratic National Committee reception",473
"93","democrat","barack-obama",578,569,901,988,179,2036,2036,"half-true","Obama ""changed the rules in Washington. Gone are the free gifts from lobbyists. Gone are the fancy airplane rides for nothing.""","ethics","President","Illinois",70,71,160,163,9,"a statement by Sen. Claire McCaskill in a TV ad.",473
"94","democrat","barack-obama",578,569,901,988,179,2042,2042,"mostly-true","Illegal immigration and the crime rate are as low as theyve been in decades.","crime,history,immigration","President","Illinois",70,71,160,163,9,"a speech at the Democratic National Convention",473
"95","democrat","barack-obama",578,569,901,988,179,2057,2057,"half-true","One of the interesting things about the Recovery Act was most of the projects came in under budget, faster than expected, because theres just not a lot of work there.","stimulus","President","Illinois",70,71,160,163,9,"a ""60 Minutes"" interview",473
"96","democrat","barack-obama",578,569,901,988,179,2092,2092,"mostly-true","The Affordable Care Act is a major reason why weve seen 50,000 fewer preventable patient deaths in hospitals.","health-care,public-health","President","Illinois",70,71,160,163,9,"a speech",473
"97","democrat","barack-obama",578,569,901,988,179,2104,2104,"half-true","My plan offers three times as much tax relief to the middle class as Senator McCain's.","taxes","President","Illinois",70,71,160,163,9,"a TV ad",473
"98","democrat","barack-obama",578,569,901,988,179,2105,2105,"false","Thirty million Americans, including a lot of people in Florida, are going to be able to get healthcare next year because of that law.","health-care","President","Illinois",70,71,160,163,9,"a Fox television interview",473
"99","democrat","barack-obama",578,569,901,988,179,2106,2106,"mostly-true","Under President Obama, domestic oil production is at an eight-year high.","energy","President","Illinois",70,71,160,163,9,"a TV ad.",473
"100","democrat","barack-obama",578,569,901,988,179,2122,2122,"half-true","There are millions of women all across the country who rely on Planned Parenthood for not just contraceptive care; they rely on it for mammograms.","abortion,health-care","President","Illinois",70,71,160,163,9,"the second presidential debate at Hofstra University",473
"101","democrat","barack-obama",578,569,901,988,179,2123,2123,"half-true","Under Obama's tax plan, ""95 percent of you will get a tax cut.""","taxes","President","Illinois",70,71,160,163,9,"Oxford, Miss.",473
"102","democrat","barack-obama",578,569,901,988,179,2155,2155,"half-true","Says that according to a report, the tech sector now drives more than one-quarter of Austins economy.","economy,jobs","President","Illinois",70,71,160,163,9,"a speech in Manor, Texas.",473
"103","democrat","barack-obama",578,569,901,988,179,2189,2189,"mostly-true","Ronald Reagan met with Gorbachev; Kennedy met with Khruschev; and Nixon met with Mao and these were folks who have done horrendous damage not only to their own countries but to other countries.","foreign-policy","President","Illinois",70,71,160,163,9,"an interview on Fox News' <i>America's Election HQ</i>",473
"104","democrat","barack-obama",578,569,901,988,179,2252,2252,"mostly-true","McCain intervened on behalf of Charles Keating with federal regulators... that allowed Keating to continue his fraud at an incredible cost to taxpayers.","candidates-biography","President","Illinois",70,71,160,163,9,"a Web site",473
"105","democrat","barack-obama",578,569,901,988,179,2271,2271,"true","John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medical expenses they couldn't pay.""","bankruptcy","President","Illinois",70,71,160,163,9,"a speech in Chicago, Ill.",473
"106","democrat","barack-obama",578,569,901,988,179,2292,2292,"mostly-true","Doctors, nurses, hospitals, even the pharmaceutical industry, (and) AARP say that health reform makes sense to do.","health-care","President","Illinois",70,71,160,163,9,"a speech on health care reform",473
"107","democrat","barack-obama",578,569,901,988,179,2318,2318,"true","The United States has one of the highest corporate tax rates in the world.","corporations,economy,taxes","President","Illinois",70,71,160,163,9,"the State of the Union address",473
"108","democrat","barack-obama",578,569,901,988,179,2344,2344,"mostly-true","For the first time in history, my administration posts our White House visitors online.","ethics,legal-issues,transparency","President","Illinois",70,71,160,163,9,"a State of the Union speech",473
"109","democrat","barack-obama",578,569,901,988,179,2355,2355,"true","While I was working on those streets watching those folks see their jobs shift overseas, you were a corporate lawyer sitting on the board at Wal-Mart.","candidates-biography","President","Illinois",70,71,160,163,9,"a debate in Myrtle Beach, S.C.",473
"110","democrat","barack-obama",578,569,901,988,179,2363,2363,"false","When President Franklin D. Roosevelt started Social Security, it only affected widows and orphans, and when Medicare began, it was a small program.","children,disability,health-care,history,medicare,social-security","President","Illinois",70,71,160,163,9,"a press conference",473
"111","democrat","barack-obama",578,569,901,988,179,2364,2364,"true","The deficit was on track to top $1 trillion the year I took office.","deficit,federal-budget","President","Illinois",70,71,160,163,9,"a televised address",473
"112","democrat","barack-obama",578,569,901,988,179,2377,2377,"mostly-true","Obama says McCain went to Bermuda and ""pledged to protect tax breaks for American corporations that hide their profits offshore.""","taxes","President","Illinois",70,71,160,163,9,"in a television ad",473
"113","democrat","barack-obama",578,569,901,988,179,2391,2391,"true","The NRA used to support expanded background checks.","guns","President","Illinois",70,71,160,163,9,"remarks in the White House Rose Garden",473
"114","democrat","barack-obama",578,569,901,988,179,2394,2394,"barely-true","The average minimum wage worker is 35 years old.","economy,jobs","President","Illinois",70,71,160,163,9,"a weekly address",473
"115","democrat","barack-obama",578,569,901,988,179,2404,2404,"barely-true","This type of mass violence does not happen in other advanced countries. It doesnt happen in other places with this kind of frequency.","corrections-and-updates,crime,criminal-justice,guns","President","Illinois",70,71,160,163,9,"remarks at the White House",473
"116","democrat","barack-obama",578,569,901,988,179,2445,2445,"false","We import more oil today than ever before.","energy","President","Illinois",70,71,160,163,9,"a newspaper interview",473
"117","democrat","barack-obama",578,569,901,988,179,2455,2455,"mostly-true","And it's going to be difficult for us to do this as long as we're spending $275 million a day on a war that should have never been authorized...","iraq","President","Illinois",70,71,160,163,9,"Washington, DC.",473
"118","democrat","barack-obama",578,569,901,988,179,2479,2479,"mostly-true","Irans defense budget is $30 billion. Our defense budget is closer to $600 billion.","foreign-policy,nuclear","President","Illinois",70,71,160,163,9,"an interview with the 'New York Times.'",473
"119","democrat","barack-obama",578,569,901,988,179,2525,2525,"true","Teddy Roosevelt first called for (health care) reform nearly a century ago.","health-care","President","Illinois",70,71,160,163,9,"a White House conference on health care.",473
"120","democrat","barack-obama",578,569,901,988,179,2586,2586,"true","Today, we import triple the amount of oil than we had on the day Senator McCain took office.","energy","President","Illinois",70,71,160,163,9,"a speech at the Democratic National Convention in Denver",473
"121","democrat","barack-obama",578,569,901,988,179,2596,2596,"true","We now sell more products made in America to the rest of the world than ever before.","corrections-and-updates,trade","President","Illinois",70,71,160,163,9,"a speech on homeownership",473
"122","democrat","barack-obama",578,569,901,988,179,2604,2604,"true","President Barack Obama reduced the cost of prescription drugs for nearly 3.6 million Americans in 2011.","health-care,medicare,message-machine-2012","President","Illinois",70,71,160,163,9,"a web video ad",473
"123","democrat","barack-obama",578,569,901,988,179,2627,2627,"mostly-true","The Washington Times ... pointed out that we had succeeded where previous administrations had failed on spending cuts.","federal-budget","President","Illinois",70,71,160,163,9,"a speech to House Democrats.",473
"124","democrat","barack-obama",578,569,901,988,179,2632,2632,"mostly-true","We've won twice as many states. We've won a greater share of the popular vote.","elections","President","Illinois",70,71,160,163,9,"an interview on the Today Show.",473
"125","democrat","barack-obama",578,569,901,988,179,2669,2669,"false","On reconciliation","bipartisanship,health-care,legal-issues","President","Illinois",70,71,160,163,9,"campaign speeches",473
"126","democrat","barack-obama",578,569,901,988,179,2689,2689,"mostly-true","At the time that (Medicare Part D) was passed (it) was actually less popular than the Affordable Care Act, according to the polls.","health-care,medicare,polls","President","Illinois",70,71,160,163,9,"an NPR interview",473
"127","democrat","barack-obama",578,569,901,988,179,2709,2709,"mostly-true","Weve cut the deficit by two-thirds.","debt,deficit,economy,stimulus","President","Illinois",70,71,160,163,9,"a speech",473
"128","democrat","barack-obama",578,569,901,988,179,2737,2737,"mostly-true","Women make 77 cents for every dollar a man earns.","jobs,women","President","Illinois",70,71,160,163,9,"the State of the Union address",473
"129","democrat","barack-obama",578,569,901,988,179,2794,2794,"half-true","Medicare does just as good, if not better, at keeping people healthy as Medicare Advantage.","health-care,medicare","President","Illinois",70,71,160,163,9,"an interview on ""This Week with George Stephanopolous.""",473
"130","democrat","barack-obama",578,569,901,988,179,2798,2798,"half-true","For the first time in 13 years, our dependence on foreign oil is below 50 percent.","energy,ethics,job-accomplishments,message-machine-2012","President","Illinois",70,71,160,163,9,"a campaign commercial",473
